ID,Year,Country,Country area (km^2),Continent,Population ,GDP (USD)
1,2000,Argentina,2766890.0,South America,37070774,284203750000.0
2,2001,Argentina,2766890.0,South America,37480493,268696750000.0
3,2002,Argentina,2766890.0,South America,37885028,97724004251.86
4,2003,Argentina,2766890.0,South America,38278164,127586973492.18
5,2004,Argentina,2766890.0,South America,38668796,164657930452.79
6,2005,Argentina,2766890.0,South America,39070501,198737095012.28
7,2006,Argentina,2766890.0,South America,39476851,232557260817.31
8,2007,Argentina,2766890.0,South America,39876111,287530508430.57
9,2008,Argentina,2766890.0,South America,40273769,361558037110.42
10,2009,Argentina,2766890.0,South America,40684338,332976484577.62
11,2010,Argentina,2766890.0,South America,40788453,423627422092.49
12,2011,Argentina,2766890.0,South America,41261490,530158176673.79
13,2012,Argentina,2766890.0,South America,41733271,545982375701.13
14,2013,Argentina,2766890.0,South America,42202935,552025140252.25
15,2014,Argentina,2766890.0,South America,42669500,526319673731.64
16,2015,Argentina,2766890.0,South America,43131966,594749285413.21
17,2016,Argentina,2766890.0,South America,43590368,557532317363.45
18,2017,Argentina,2766890.0,South America,44044811,643628396190.39
19,2018,Argentina,2766890.0,South America,44494502,524819898586.91
20,2019,Argentina,2766890.0,South America,44938712,447754686715.08
21,2020,Argentina,2766890.0,South America,45376763,385540406815.6
22,2021,Argentina,2766890.0,South America,45808747,487227125385.64
23,2022,Argentina,2766890.0,South America,46234830,632770284408.51
24,2000,Bolivia,1098580.0,South America,8592656,8397855937.47
25,2001,Bolivia,1098580.0,South America,8746084,8141517339.15
26,2002,Bolivia,1098580.0,South America,8900583,7905485146.44
27,2003,Bolivia,1098580.0,South America,9057378,8082399991.3
28,2004,Bolivia,1098580.0,South America,9216279,8773451751.51
29,2005,Bolivia,1098580.0,South America,9377388,9549122313.4
30,2006,Bolivia,1098580.0,South America,9542663,11451845378.69
31,2007,Bolivia,1098580.0,South America,9711152,13120107738.89
32,2008,Bolivia,1098580.0,South America,9880593,16674276979.47
33,2009,Bolivia,1098580.0,South America,10051317,17339992193.73
34,2010,Bolivia,1098580.0,South America,10223270,19649724655.58
35,2011,Bolivia,1098580.0,South America,10396246,23963162969.38
36,2012,Bolivia,1098580.0,South America,10569697,27084497481.91
37,2013,Bolivia,1098580.0,South America,10743349,30659338885.67
38,2014,Bolivia,1098580.0,South America,10916987,32996188017.37
39,2015,Bolivia,1098580.0,South America,11090085,33000198248.91
40,2016,Bolivia,1098580.0,South America,11263015,33941126193.92
41,2017,Bolivia,1098580.0,South America,11435533,37508642170.77
42,2018,Bolivia,1098580.0,South America,11606905,40287647930.54
43,2019,Bolivia,1098580.0,South America,11777315,40895322850.94
44,2020,Bolivia,1098580.0,South America,11936162,36629843806.08
45,2021,Bolivia,1098580.0,South America,12079472,40408208523.88
46,2022,Bolivia,1098580.0,South America,12224110,43068885672.94
