ID,Ano,País,Área do País,Continente,População,PIB (Dólares)
1,2000,Argentina,2766890.0,South America,37070774.0,284203750000.0
2,2001,Argentina,2766890.0,South America,37480493.0,268696750000.0
3,2002,Argentina,2766890.0,South America,37885028.0,97724004251.86
4,2003,Argentina,2766890.0,South America,38278164.0,127586973492.18
5,2004,Argentina,2766890.0,South America,38668796.0,164657930452.79
6,2005,Argentina,2766890.0,South America,39070501.0,198737095012.28
7,2006,Argentina,2766890.0,South America,39476851.0,232557260817.31
8,2007,Argentina,2766890.0,South America,39876111.0,287530508430.57
9,2008,Argentina,2766890.0,South America,40273769.0,361558037110.42
10,2009,Argentina,2766890.0,South America,40684338.0,332976484577.62
11,2010,Argentina,2766890.0,South America,40788453.0,423627422092.49
12,2011,Argentina,2766890.0,South America,41261490.0,530158176673.79
13,2012,Argentina,2766890.0,South America,41733271.0,545982375701.13
14,2013,Argentina,2766890.0,South America,42202935.0,552025140252.25
15,2014,Argentina,2766890.0,South America,42669500.0,526319673731.64
16,2015,Argentina,2766890.0,South America,43131966.0,594749285413.21
17,2016,Argentina,2766890.0,South America,43590368.0,557532317363.45
18,2017,Argentina,2766890.0,South America,44044811.0,643628396190.39
19,2018,Argentina,2766890.0,South America,44494502.0,524819898586.91
20,2019,Argentina,2766890.0,South America,44938712.0,447754686715.08
21,2020,Argentina,2766890.0,South America,45376763.0,385540406815.6
22,2021,Argentina,2766890.0,South America,45808747.0,487227125385.64
23,2022,Argentina,2766890.0,South America,46234830.0,632770284408.51
24,2000,Bolivia,1098580.0,South America,8592656.0,8397855937.47
25,2001,Bolivia,1098580.0,South America,8746084.0,8141517339.15
26,2002,Bolivia,1098580.0,South America,8900583.0,7905485146.44
27,2003,Bolivia,1098580.0,South America,9057378.0,8082399991.3
28,2004,Bolivia,1098580.0,South America,9216279.0,8773451751.51
29,2005,Bolivia,1098580.0,South America,9377388.0,9549122313.4
30,2006,Bolivia,1098580.0,South America,9542663.0,11451845378.69
31,2007,Bolivia,1098580.0,South America,9711152.0,13120107738.89
32,2008,Bolivia,1098580.0,South America,9880593.0,16674276979.47
33,2009,Bolivia,1098580.0,South America,10051317.0,17339992193.73
34,2010,Bolivia,1098580.0,South America,10223270.0,19649724655.58
35,2011,Bolivia,1098580.0,South America,10396246.0,23963162969.38
36,2012,Bolivia,1098580.0,South America,10569697.0,27084497481.91
37,2013,Bolivia,1098580.0,South America,10743349.0,30659338885.67
38,2014,Bolivia,1098580.0,South America,10916987.0,32996188017.37
39,2015,Bolivia,1098580.0,South America,11090085.0,33000198248.91
40,2016,Bolivia,1098580.0,South America,11263015.0,33941126193.92
41,2017,Bolivia,1098580.0,South America,11435533.0,37508642170.77
42,2018,Bolivia,1098580.0,South America,11606905.0,40287647930.54
43,2019,Bolivia,1098580.0,South America,11777315.0,40895322850.94
44,2020,Bolivia,1098580.0,South America,11936162.0,36629843806.08
45,2021,Bolivia,1098580.0,South America,12079472.0,40408208523.88
46,2022,Bolivia,1098580.0,South America,12224110.0,43068885672.94
47,2000,Brazil,8514877.0,South America,175873720.0,655448188246.11
48,2001,Brazil,8514877.0,South America,178211881.0,559983704075.66
49,2002,Brazil,8514877.0,South America,180476685.0,509795270707.27
50,2003,Brazil,8514877.0,South America,182629278.0,558233724160.74
51,2004,Brazil,8514877.0,South America,184722043.0,669289321953.68
52,2005,Brazil,8514877.0,South America,186797334.0,891633826582.61
53,2006,Brazil,8514877.0,South America,188820682.0,1107626711436.44
54,2007,Brazil,8514877.0,South America,190779453.0,1397114247287.58
55,2008,Brazil,8514877.0,South America,192672317.0,1695855391816.48
56,2009,Brazil,8514877.0,South America,194517549.0,1666996294324.76
57,2010,Brazil,8514877.0,South America,196353492.0,2208838108593.19
58,2011,Brazil,8514877.0,South America,198185302.0,2616156606734.51
59,2012,Brazil,8514877.0,South America,199977707.0,2465228293862.62
60,2013,Brazil,8514877.0,South America,201721767.0,2472819362259.0
61,2014,Brazil,8514877.0,South America,203459650.0,2456043766063.5
62,2015,Brazil,8514877.0,South America,205188205.0,1802211999555.59
63,2016,Brazil,8514877.0,South America,206859578.0,1795693265824.27
64,2017,Brazil,8514877.0,South America,208504960.0,2063514688761.67
65,2018,Brazil,8514877.0,South America,210166592.0,1916933708404.16
66,2019,Brazil,8514877.0,South America,211782878.0,1873288159000.64
67,2020,Brazil,8514877.0,South America,213196304.0,1476107292036.59
68,2021,Brazil,8514877.0,South America,214326223.0,1649622972159.35
69,2022,Brazil,8514877.0,South America,215313498.0,1920095560995.06
70,2000,Venezuela,912050.0,South America,24427729.0,117146466003.24
71,2001,Venezuela,912050.0,South America,24880203.0,122911036746.16
72,2002,Venezuela,912050.0,South America,25330929.0,92893587733.65
73,2003,Venezuela,912050.0,South America,25782029.0,83620628582.11
74,2004,Venezuela,912050.0,South America,26226927.0,112451400422.98
75,2005,Venezuela,912050.0,South America,26668785.0,145513489651.87
76,2006,Venezuela,912050.0,South America,27102081.0,183477522123.89
77,2007,Venezuela,912050.0,South America,27525097.0,230364012575.69
78,2008,Venezuela,912050.0,South America,27933833.0,315953388510.68
79,2009,Venezuela,912050.0,South America,28327892.0,329787628928.47
80,2010,Venezuela,912050.0,South America,28715022.0,393192354510.65
81,2011,Venezuela,912050.0,South America,29096159.0,316482190800.36
82,2012,Venezuela,912050.0,South America,29470426.0,381286237847.67
83,2013,Venezuela,912050.0,South America,29838021.0,371005379786.57
84,2014,Venezuela,912050.0,South America,30193258.0,482359318767.7
85,2015,Venezuela,912050.0,South America,30529716.0,0.0
86,2016,Venezuela,912050.0,South America,30741464.0,0.0
87,2017,Venezuela,912050.0,South America,30563433.0,0.0
88,2018,Venezuela,912050.0,South America,29825653.0,0.0
89,2019,Venezuela,912050.0,South America,28971683.0,0.0
90,2020,Venezuela,912050.0,South America,28490453.0,0.0
91,2021,Venezuela,912050.0,South America,28199867.0,0.0
92,2022,Venezuela,912050.0,South America,28301696.0,0.0
93,2000,Guyana,214970.0,South America,759051.0,712667896.73
94,2001,Guyana,214970.0,South America,759809.0,712167448.9
95,2002,Guyana,214970.0,South America,760323.0,726131434.72
96,2003,Guyana,214970.0,South America,760562.0,743063949.04
97,2004,Guyana,214970.0,South America,760424.0,787814379.18
98,2005,Guyana,214970.0,South America,759709.0,824880550.34
99,2006,Guyana,214970.0,South America,758367.0,2379817986.73
100,2007,Guyana,214970.0,South America,756521.0,2730971599.89
101,2008,Guyana,214970.0,South America,754150.0,3025187428.38
102,2009,Guyana,214970.0,South America,751258.0,3165663152.73
103,2010,Guyana,214970.0,South America,747932.0,3432912511.3
104,2011,Guyana,214970.0,South America,744230.0,3691384317.52
105,2012,Guyana,214970.0,South America,743966.0,4063088529.14
106,2013,Guyana,214970.0,South America,747420.0,4167800935.6
107,2014,Guyana,214970.0,South America,751115.0,4127660158.47
108,2015,Guyana,214970.0,South America,755031.0,4279840193.7
109,2016,Guyana,214970.0,South America,759087.0,4482697336.56
110,2017,Guyana,214970.0,South America,763252.0,4748174334.14
111,2018,Guyana,214970.0,South America,785514.0,4787637005.54
112,2019,Guyana,214970.0,South America,798753.0,5173760191.85
113,2020,Guyana,214970.0,South America,797202.0,5471256594.72
114,2021,Guyana,214970.0,South America,804567.0,8044498800.96
115,2022,Guyana,214970.0,South America,808726.0,15357537068.34
116,2000,Colombia,1138910.0,South America,39215135.0,99875074935.08
117,2001,Colombia,1138910.0,South America,39837875.0,98200641189.16
118,2002,Colombia,1138910.0,South America,40454050.0,97945812789.85
119,2003,Colombia,1138910.0,South America,41057687.0,94644969146.14
120,2004,Colombia,1138910.0,South America,41648268.0,117092416651.4
121,2005,Colombia,1138910.0,South America,42220940.0,145600527535.77
122,2006,Colombia,1138910.0,South America,42772910.0,161792959247.85
123,2007,Colombia,1138910.0,South America,43306582.0,206229536757.67
124,2008,Colombia,1138910.0,South America,43815313.0,242504150472.93
125,2009,Colombia,1138910.0,South America,44313917.0,232468666665.15
126,2010,Colombia,1138910.0,South America,44816108.0,286498534094.96
127,2011,Colombia,1138910.0,South America,45308899.0,334966134865.31
128,2012,Colombia,1138910.0,South America,45782417.0,370691143086.76
129,2013,Colombia,1138910.0,South America,46237930.0,382093697077.68
130,2014,Colombia,1138910.0,South America,46677947.0,381240864422.41
131,2015,Colombia,1138910.0,South America,47119728.0,293492370228.85
132,2016,Colombia,1138910.0,South America,47625955.0,282720100286.23
133,2017,Colombia,1138910.0,South America,48351671.0,311866875135.58
134,2018,Colombia,1138910.0,South America,49276961.0,334198218100.72
135,2019,Colombia,1138910.0,South America,50187406.0,323031701210.77
136,2020,Colombia,1138910.0,South America,50930662.0,270150956772.57
137,2021,Colombia,1138910.0,South America,51516562.0,318511813576.97
138,2022,Colombia,1138910.0,South America,51874024.0,343939445259.49
139,2000,Paraguay,406750.0,South America,5123819.0,8855705139.56
140,2001,Paraguay,406750.0,South America,5211541.0,8495806432.18
141,2002,Paraguay,406750.0,South America,5286512.0,7196260656.85
142,2003,Paraguay,406750.0,South America,5353254.0,7691367471.18
143,2004,Paraguay,406750.0,South America,5416324.0,9624440836.29
144,2005,Paraguay,406750.0,South America,5476878.0,10737500188.11
145,2006,Paraguay,406750.0,South America,5534675.0,13429430050.26
146,2007,Paraguay,406750.0,South America,5590145.0,17856393235.43
147,2008,Paraguay,406750.0,South America,5645148.0,24615267617.03
148,2009,Paraguay,406750.0,South America,5702574.0,22355151177.74
149,2010,Paraguay,406750.0,South America,5768613.0,27129301048.05
150,2011,Paraguay,406750.0,South America,5843939.0,33737033607.06
151,2012,Paraguay,406750.0,South America,5923322.0,33296438408.86
152,2013,Paraguay,406750.0,South America,6005652.0,38651334593.03
153,2014,Paraguay,406750.0,South America,6090721.0,40377987314.64
154,2015,Paraguay,406750.0,South America,6177950.0,36211372646.38
155,2016,Paraguay,406750.0,South America,6266615.0,36089550671.83
156,2017,Paraguay,406750.0,South America,6355404.0,38997129809.17
157,2018,Paraguay,406750.0,South America,6443328.0,40225448651.31
158,2019,Paraguay,406750.0,South America,6530026.0,37925338460.16
159,2020,Paraguay,406750.0,South America,6618695.0,35432177936.33
160,2021,Paraguay,406750.0,South America,6703799.0,39950899733.23
161,2022,Paraguay,406750.0,South America,6780744.0,41722295362.07
